HubID,n,rmsle,mean_actual
371,33,0.08416402753903199,6959.545454545455
802,34,0.08415009251208613,7056.382352941177
858,33,0.08407755131183375,5231.818181818182
543,33,0.08399237260182264,2699.060606060606
492,33,0.0839508037615283,8294.818181818182
114,34,0.08389396927656124,5494.14705882353
1070,34,0.08387695262393476,7320.764705882353
382,34,0.08385005594246732,7879.705882352941
922,33,0.08376044001268482,8073.818181818182
778,33,0.08375166162758595,5821.484848484848
588,34,0.08369255767229453,6333.823529411765
322,34,0.0836880059920762,5112.85294117647
463,33,0.08368132295671253,6464.969696969697
747,34,0.08356439613011693,8084.823529411765
1028,33,0.08354863770764259,5255.393939393939
574,33,0.08353062690083383,9640.727272727272
443,34,0.08350786286196417,5428.970588235294
1019,33,0.08349376127447186,8974.424242424242
1023,34,0.08344742331288671,5932.441176470588
681,33,0.08343887550978589,4039.939393939394
475,33,0.08342136495629698,6868.484848484848
996,34,0.0834181710561444,7443.911764705882
868,33,0.08340265461770048,10257.454545454546
625,33,0.08339252319430637,6940.606060606061
910,34,0.08334709972650496,6071.088235294118
708,34,0.08331380927688509,5873.705882352941
255,33,0.08319134276383455,6896.69696969697
455,33,0.08311197301642075,8096.727272727273
321,34,0.08303581246494202,6336.14705882353
219,33,0.08291086163747888,3323.181818181818
686,34,0.08283046882696463,6366.058823529412
43,33,0.08281502834130704,6762.454545454545
875,33,0.08280907439566229,5259.848484848485
556,34,0.08276756937747251,7363.85294117647
687,33,0.08271663063902807,9828.030303030304
762,33,0.0826956946922334,4421.969696969697
164,33,0.0826782456046731,6893.69696969697
174,33,0.08266739055775309,6645.909090909091
356,33,0.08252918197915886,6543.545454545455
150,34,0.08252595518043267,8721.70588235294
825,33,0.08244536407306907,5110.606060606061
1088,33,0.08222607170725457,5569.515151515152
504,34,0.08221873253179145,6924.117647058823
28,34,0.08221550480489116,4731.029411764706
1058,33,0.08220119041442381,7693.30303030303
723,33,0.08214702403406797,8273.757575757576
474,34,0.0821338774354689,7951.470588235294
215,33,0.08212266549007687,6766.666666666667
769,42,0.08210757428595251,12695.380952380952
201,33,0.08208471385397285,5587.545454545455
491,33,0.08207394685610163,7388.060606060606
859,33,0.08206754937129823,8309.454545454546
285,33,0.08199401776052684,5897.363636363636
998,33,0.0819819822852451,4680.363636363636
981,34,0.08193149964701456,7451.35294117647
941,33,0.0819197683409228,5389.515151515152
571,33,0.08191313928416567,8903.545454545454
715,34,0.08190579324498097,6340.823529411765
646,33,0.08188897388493874,5318.545454545455
844,33,0.08188566553688333,4356.575757575758
124,33,0.08185275582280965,4995.090909090909
753,33,0.08184701291075015,8866.121212121212
25,33,0.0818017495792877,11251.030303030304
727,33,0.08176548195320217,4804.454545454545
581,33,0.08175576540949402,5171.69696969697
749,33,0.08172438515928315,4713.272727272727
5,34,0.08172363398536889,4771.764705882353
126,33,0.0817061514270363,5787.242424242424
476,34,0.08169127837175295,6160.676470588235
515,33,0.08161653086930495,9603.545454545454
118,34,0.08161501551685738,8604.5
51,33,0.08157030922627474,7570.939393939394
662,34,0.08155641659928536,8821.411764705883
369,33,0.08151439924029996,6801.636363636364
457,33,0.081469841977509,5694.121212121212
287,33,0.08146311200998001,8545.60606060606
366,34,0.08142709854424429,6210.441176470588
559,34,0.08142320573880915,6037.705882352941
391,33,0.08136158437125846,5822.848484848485
635,34,0.08134254663129617,5962.14705882353
542,33,0.081278975862009,6346.272727272727
638,33,0.08126315051451376,6669.030303030303
721,34,0.08125123943503389,7912.235294117647
872,33,0.08122926311534298,8143.333333333333
901,34,0.08121826990429505,6971.558823529412
613,34,0.08120843775934664,6416.64705882353
451,33,0.08120732124515553,5886.545454545455
277,33,0.0812021817192843,6386.969696969697
963,34,0.08115076937065067,11143.735294117647
817,34,0.08109593598116732,21449.29411764706
2,34,0.08102347693883863,4989.117647058823
833,33,0.08098869189446571,5822.666666666667
323,33,0.08093581983055072,7967.909090909091
807,33,0.0807819929048749,10573.363636363636
